week,cup_number,pH,temperature_C,shading,subsidy,larvae,chlorophyll_ugL,date,po4_a,po4_b,nh4_a,nh4_b,no2_a,no2_b,no3_a,no3_b,bact_a,bact_b
0,1,NA,20.9,shaded,litter,present,NA,20211029,0,1.7985643464752565,4.37968141411419,4.843760555119265,0.893341115138974,1.256085932456253,10.4700411649956,10.503761258869515,0.15831302263112218,0.14396313130428753
0,2,NA,20.9,shaded,litter,present,1.6404761904761906,20211029,0,3.930865462899706,2.7468673036711433,1.6499722867782591,0.19004306331372572,0.09566217366388666,1.6816999875925869,1.8056253204701098,0.17283769278770333,0.12684510003568286
0,3,NA,20.6,shaded,litter,absent,1.625531914893617,20211029,0,6.190089264825607,0.5929423069164861,0,0,0,2.755212549136121,2.349598800044806,0.29167590315973024,0.13051324959324104
0,4,NA,20.7,shaded,litter,present,3.1173913043478265,20211029,0,4.28624898230378,1.4093493621380098,0.8401513298484882,0,0,1.63720205758042,1.9089802815893022,0.12134113495982495,0.12929053307405494
0,5,NA,20.6,shaded,litter,present,1.2704545454545453,20211029,0,2.230101477180206,1.661219623855288,1.0221335673607963,0,0,2.037683427689925,1.9960160383212524,0.0936122192063519,0.057150258442078126
0,6,NA,20.6,shaded,litter,present,1.6065217391304352,20211029,0,2.280870551380786,NA,1.1768184692462587,0,0,2.7385258253815574,1.860022668427578,0.06984457713194656,0.05348210888452005
0,7,NA,20.5,shaded,litter,absent,0.9000000000000001,20211029,0,3.245482961191845,3.042163472581056,2.286910118071338,0,0,0.3578865697306154,2.1102504690319397,0.10285519112417622,0.06326384103800836
0,8,NA,20.6,shaded,litter,absent,0.610204081632653,20211029,0,2.2047169400799143,1.9999416999578352,1.2860078117536429,0,0,1.7484468826108388,1.745788237716892,0.07248542625132492,0.07426828971068286
0,9,NA,20.7,shaded,litter,absent,0.8526315789473685,20211029,0,1.7985643464752565,1.5135715394003324,1.6863687342807205,0,0,2.1767394589779476,1.9144200163850478,0.0672037280125682,0.041254943692659564
0,10,NA,20.7,shaded,litter,absent,0.965217391304348,20211029,0,1.5447189754723458,0.8534977500722916,1.1859175811218743,0,0,1.5315194738015239,1.6043551330274715,0.07380585081101415,0.02291419590486883
0,11,NA,20.7,shaded,litter,absent,0.36444444444444446,20211029,0,2.4077932368822417,1.4093493621380098,0.7582593229679497,0,0,1.926438602659507,1.3650068020146047,0.07908754904977087,0.05837297496126421
0,12,NA,20.8,shaded,litter,absent,0.6681818181818181,20211029,0,4.057788148401161,3.901996434995214,1.8956483074198744,0,0,2.0933058402051334,0.5762452566312938,0.04607693505754112,0.10483620269033399
0,13,NA,21,exposed,litter,present,0.22249999999999998,20211029,0,2.763176756286316,4.336255506921555,4.661778317606957,0.4688653678834986,0.19132434732777331,1.7873825713714855,1.9905763035255062,0.23885892077216275,0.12317695047812471
0,14,NA,20.9,exposed,litter,present,0.8309523809523809,20211029,0,7.281624360138125,1.3919789992609557,3.0785328512498773,0,0,2.694027895369391,2.578067661466179,0.05135863329629793,0.02291419590486883
0,15,NA,20.8,exposed,litter,present,0.36739130434782613,20211029,0,2.3824086997819496,1.3311827291912683,0.4306912954457961,0,0,1.5815796450652126,1.2616518408954114,0.07908754904977087,0.06448655755719444
0,16,NA,20.7,exposed,litter,present,0.3239130434782609,20211029,0,2.153947865879331,1.2009050076133656,2.69637015247403,0,0,2.2156751477385925,1.223573697325183,0.1068164648032438,0.16230387909207825
0,17,NA,20.8,exposed,litter,present,0.3130434782608696,20211029,0,2.077794254578459,1.6525344424167612,3.3879026550208007,0,0,2.4047913502903038,2.164647816989409,0.06456287889318975,0.02291419590486883
0,18,NA,21.1,exposed,litter,present,0.33478260869565224,20211029,0,1.7477952722746763,2.712126577917036,0.9584397842314892,0,0,2.2434863539961984,2.0449736514829757,0.05531990697536543,0.03636407761591531
0,19,NA,20.7,exposed,litter,absent,0.33478260869565224,20211029,0,1.4939499012717656,1.6872751681708682,6.53619536398373,0,0.020796124709540627,1.653888781334984,1.5989153982317235,0.06588330345287897,0.030250495019985158
0,20,NA,21.2,exposed,litter,absent,0.8613636363636363,20211029,0,2.2554860142804944,1.6004233537855999,2.869253278110722,0,0,1.7484468826108381,1.9307392207722884,0.0764466999303925,0.049813959326961886
0,21,NA,21,exposed,litter,absent,0.3520833333333333,20211029,0,1.5447189754723458,3.050848654019583,1.9957385380516441,0,0,2.471538245308554,2.4420742915725047,0.05928118065443302,0.035141361096729315
0,22,NA,20.8,exposed,litter,absent,0.5521739130434784,20211029,0,2.2047169400799143,2.5210525862694464,3.397001766896415,0,0,1.4536480962802323,1.8273842596530976,0.27583080844346,0.0816045888257991
0,23,NA,20.9,exposed,litter,absent,0.37826086956521743,20211029,0,1.7731798093749647,1.0532569231584086,1.3406024830073355,0,0,2.1544904939718648,2.512790843917215,0.056640331535054655,0.03391864457754323
0,24,NA,20.9,exposed,litter,absent,0.3130434782608696,20211029,0,1.290873604469435,1.1227383746666242,0.8401513298484882,0,0,1.3424032712498128,1.9633776295467713,0.043436085938162755,0.011909747232194429
0,25,NA,20.6,shaded,litter_feces,present,0.20434782608695656,20211029,0,9.185464642659952,2.703441396478509,2.869253278110722,0,0,1.4480858550287106,0.5599260522440523,0.08568967184821683,0.047368526288589806
0,26,NA,20.9,shaded,litter_feces,present,0.2977777777777778,20211029,0,2.153947865879331,0.8708681129493457,0.49438507857510317,0,0,1.698386711347151,1.58803592864023,0.05928118065443302,0.02169147938568275
0,27,NA,21.1,shaded,litter_feces,present,0.15000000000000002,20211029,0,1.8239488835755482,0.740590391371443,0,0,0,3.150131677994104,3.0458848539004184,0.10285519112417622,0.06326384103800836
0,28,NA,20.7,shaded,litter_feces,present,0.3239130434782609,20211029,0,1.8239488835755482,1.2095901890518928,0.4670877429482575,0,0,1.359089995004376,1.4792412327252913,0.08304882272883846,0.0816045888257991
0,29,NA,20.6,shaded,litter_feces,present,0.6523809523809524,20211029,0,2.915483978888063,3.893311253556687,2.869253278110722,0,0,1.932000843911029,3.9543205647901627,0.15303132439236547,0.2772392318955667
0,30,NA,20.6,shaded,litter_feces,present,0.378,20211029,0,3.296252035392429,1.9304602484496207,1.3860980423854126,0,0,1.9764987739231958,1.685951154963676,0.1371862296760952,0.1586357295345201
0,31,NA,20.9,shaded,litter_feces,absent,0.20227272727272724,20211029,0,2.0270251803778754,1.9999416999578352,1.558981168022105,0.36898872147044565,0,0,0.5816849914270406,0.10021434200479785,0.0913863209792875
