week,cup_number,pH,temperature_C,shading,subsidy,larvae,chlorophyll_ugL,date,po4,no2,nh4,no3,bact
0,1,NA,20.9,shaded,litter,present,NA,2021-10-29,0.8992821732376283,1.0747135237976135,4.611720984616728,10.486901211932558,0.8451338987880116
0,2,NA,20.9,shaded,litter,present,1.6404761904761906,2021-10-29,1.965432731449853,0.1428526184888062,2.198419795224701,1.7436626540313482,0.8378831204549051
0,3,NA,20.6,shaded,litter,absent,1.625531914893617,2021-10-29,3.0950446324128036,0,0.29647115345824304,2.5524056745904633,1.1803986521820318
0,4,NA,20.7,shaded,litter,present,3.1173913043478265,2021-10-29,2.14312449115189,0,1.1247503459932489,1.7730911695848612,0.7007410806559244
0,5,NA,20.6,shaded,litter,present,1.2704545454545453,2021-10-29,1.115050738590103,0,1.341676595608042,2.016849733005589,0.42151681125724516
0,6,NA,20.6,shaded,litter,present,1.6065217391304352,2021-10-29,1.140435275690393,0,1.1768184692462587,2.2992742469045675,0.3448090814334387
0,7,NA,20.5,shaded,litter,absent,0.9000000000000001,2021-10-29,1.6227414805959226,0,2.664536795326197,1.2340685193812775,0.4644522020222515
0,8,NA,20.6,shaded,litter,absent,0.610204081632653,2021-10-29,1.1023584700399571,0,1.642974755855739,1.7471175601638653,0.4103087144581772
0,9,NA,20.7,shaded,litter,absent,0.8526315789473685,2021-10-29,0.8992821732376283,0,1.5999701368405264,2.0455797376814977,0.30323960022064594
0,10,NA,20.7,shaded,litter,absent,0.965217391304348,2021-10-29,0.7723594877361729,0,1.019707665597083,1.5679373034144977,0.2704195786129369
0,11,NA,20.7,shaded,litter,absent,0.36444444444444446,2021-10-29,1.2038966184411208,0,1.0838043425529797,1.6457227023370558,0.38432587908245264
0,12,NA,20.8,shaded,litter,absent,0.6681818181818181,2021-10-29,2.0288940742005805,0,2.8988223712075443,1.3347755484182136,0.4219380418292837
0,13,NA,21,exposed,litter,present,0.22249999999999998,2021-10-29,1.381588378143158,0.33009485760563595,4.499016912264256,1.8889794374484958,1.0122160924286783
0,14,NA,20.9,exposed,litter,present,0.8309523809523809,2021-10-29,3.6408121800690627,0,2.2352559252554167,2.636047778417785,0.20765940316354187
0,15,NA,20.8,exposed,litter,present,0.36739130434782613,2021-10-29,1.1912043498909748,0,0.8809370123185323,1.421615742980312,0.401418844662414
0,16,NA,20.7,exposed,litter,present,0.3239130434782609,2021-10-29,1.0769739329396655,0,1.9486375800436977,1.7196244225318877,0.7524335694969305
0,17,NA,20.8,exposed,litter,present,0.3130434782608696,2021-10-29,1.0388971272892296,0,2.520218548718781,2.2847195836398564,0.24457715342789166
0,18,NA,21.1,exposed,litter,present,0.33478260869565224,2021-10-29,0.8738976361373382,0,1.8352831810742627,2.144230002739587,0.25633925251876155
0,19,NA,20.7,exposed,litter,absent,0.33478260869565224,2021-10-29,0.7469749506358828,0.010398062354770313,4.111735266077299,1.6264020897833538,0.26878048715028047
0,20,NA,21.2,exposed,litter,absent,0.8613636363636363,2021-10-29,1.1277430071402472,0,2.234838315948161,1.8395930516915633,0.3530121772176368
0,21,NA,21,exposed,litter,absent,0.3520833333333333,2021-10-29,0.7723594877361729,0,2.5232935960356135,2.4568062684405296,0.26399598448207445
0,22,NA,20.8,exposed,litter,absent,0.5521739130434784,2021-10-29,1.1023584700399571,0,2.959027176582931,1.6405161779666648,0.999353627225121
0,23,NA,20.9,exposed,litter,absent,0.37826086956521743,2021-10-29,0.8865899046874823,0,1.196929703082872,2.3336406689445397,0.25319384131321215
0,24,NA,20.9,exposed,litter,absent,0.3130434782608696,2021-10-29,0.6454368022347176,0,0.9814448522575562,1.6528904503982922,0.15474141496100136
0,25,NA,20.6,shaded,litter_feces,present,0.20434782608695656,2021-10-29,4.592732321329976,0,2.7863473372946155,1.0040059536363815,0.3720174161706973
0,26,NA,20.9,shaded,litter_feces,present,0.2977777777777778,2021-10-29,1.0769739329396655,0,0.6826265957622244,1.6432113199936904,0.22639146020615936
0,27,NA,21.1,shaded,litter_feces,present,0.15000000000000002,2021-10-29,0.9119744417877741,0,0.3702951956857215,3.098008265947261,0.4644522020222515
0,28,NA,20.7,shaded,litter_feces,present,0.3239130434782609,2021-10-29,0.9119744417877741,0,0.8383389660000751,1.4191656138648336,0.46035447336561075
0,29,NA,20.6,shaded,litter_feces,present,0.6523809523809524,2021-10-29,1.4577419894440315,0,3.3812822658337045,2.943160704350596,1.202993448325429
0,30,NA,20.6,shaded,litter_feces,present,0.378,2021-10-29,1.6481260176962145,0,1.6582791454175165,1.831224964443436,0.8270886157569588
0,31,NA,20.9,shaded,litter_feces,absent,0.20227272727272724,2021-10-29,1.0135125901889377,0.18449436073522282,1.7794614339899701,0.2908424957135203,0.5356962936372038
0,32,NA,20.8,shaded,litter_feces,present,0.4380952380952381,2021-10-29,1.6100492120457786,0,1.0995263414220124,1.9743978848845387,0.4565222881484964
0,33,NA,20.7,shaded,litter_feces,absent,0.3547619047619047,2021-10-29,0.7215904135355911,0,0.809396945235374,1.450799245622277,0.09047491976871308
0,34,NA,20.8,shaded,litter_feces,absent,0.5195652173913045,2021-10-29,1.80043324029796,0,1.2711566391369402,1.3938292620935548,0.6590311892524523
0,35,NA,20.9,shaded,litter_feces,absent,0.19347826086956524,2021-10-29,8.057721635519705,0.3925707074290831,1.8237262386672803,2.1778366606740676,0.6493217737253609
0,36,NA,20.4,shaded,litter_feces,absent,0.32083333333333336,2021-10-29,1.0642816643895194,0,4.418152373736106,3.6055456366184853,0.3100767864526305
0,37,NA,20.9,exposed,litter_feces,present,0.6173913043478261,2021-10-29,0.7977440248364647,1.3684487734232889,2.0671182841645765,0.3751583850475983,0.23186273688593045
0,38,NA,20.7,exposed,litter_feces,present,0.20434782608695656,2021-10-29,2.980814215461494,0.7400582064078303,2.386825312252215,0.8348159752882173,1.6155122953641414
0,39,NA,20.9,exposed,litter_feces,present,0.2704545454545454,2021-10-29,2.0162018056504345,0.3368972202945577,2.4413868736744093,1.946475974657353,0.4689635227800151
0,40,NA,21.3,exposed,litter_feces,present,0.14047619047619048,2021-10-29,2.2954317137536355,1.9323356729636503,2.0830619637328187,0.8239365056967234,0.549776619731379
0,41,NA,20.6,exposed,litter_feces,present,0.10476190476190475,2021-10-29,1.940048194349561,0,2.8082598983691445,1.9290176843111073,1.111480426041301
0,42,NA,21,exposed,litter_feces,present,0.2422222222222222,2021-10-29,3.8565807454215357,0,1.5488901954319203,1.749971736503706,0.3242975227374849
0,43,NA,20.9,exposed,litter_feces,absent,0.09361702127659574,2021-10-29,1.8385100459483976,0,1.3993794240100654,1.318959292738723,0.6433041332247047
0,44,NA,20.9,exposed,litter_feces,absent,0.11249999999999999,2021-10-29,1.724279628997088,0,4.35193086154227,1.6585268677623546,0.38787724391820816
0,45,NA,21,exposed,litter_feces,absent,0.2704545454545454,2021-10-29,1.4577419894440315,0.8940347029612867,1.4523073369049038,2.686867713786963,0.464179020111809
0,46,NA,21,exposed,litter_feces,absent,0.19090909090909086,2021-10-29,0.8485130990370464,0.0013871756446255834,3.5497786543091365,0.4911772003944941,0.46212633654803037
0,47,NA,21.1,exposed,litter_feces,absent,0.21799999999999997,2021-10-29,1.4323574523437397,0,2.70841710052775,2.43330751350586,0.39389488441886444
0,48,NA,20.9,exposed,litter_feces,absent,0.13333333333333336,2021-10-29,1.0642816643895194,0.004159224941907952,1.4159292837532744,0.629191926808438,0.4897482633864113
1,1,NA,NA,shaded,litter,present,0.6040816326530613,2021-11-01,1.5380376170485346,0.04431827170795452,3.4454195651395585,0.9827617489087282,0.21132871944990478
1,2,NA,NA,shaded,litter,present,0.5020408163265306,2021-11-01,1.807766166990373,0.06647740756193178,0.601229419351976,0.3168763989187599,0.5070815174811829
1,3,NA,NA,shaded,litter,absent,0.7166666666666667,2021-11-01,1.2143766798134257,0.07755697548892038,0.09780811665447811,0.11666588166119722,0.44877511955180516
1,4,NA,NA,shaded,litter,present,0.6375000000000001,2021-11-01,2.064184841073493,0.03928210446841423,1.884108481301276,0,0.3974221873878431
1,5,NA,NA,shaded,litter,present,0.6869565217391306,2021-11-01,2.7650593541700403,0.02920976998933365,0.8627336700496101,0,0.5776908098378519
1,6,NA,NA,shaded,litter,present,0.4808510638297873,2021-11-01,3.104507869856882,0.05741230653075922,1.1189880781405699,0.21454657898711685,0.7228905157849955
1,7,NA,NA,shaded,litter,absent,0.4043478260869566,2021-11-01,1.0755536824484244,0.06647740756193178,1.3995618391236597,0.011369979992404888,0.5499348898262781
1,8,NA,NA,shaded,litter,absent,0.6045454545454545,2021-11-01,0.8080276747748417,0.03525317067678196,0.19422510328096834,0.06624249212966278,0.5458339250171811
1,9,NA,NA,shaded,litter,absent,0.448936170212766,2021-11-01,7.026583925519727,0.04028933791632225,1.3022872962508225,0.16412318945558252,0.6449721844121499
1,10,NA,NA,shaded,litter,absent,0.3659090909090908,2021-11-01,2.1374364694210435,0.09770164444708153,0.9419029155336915,0.012853020860979367,0.9140397396592523
1,11,6.85,22.5,shaded,litter,absent,0.5023255813953489,2021-11-01,2.5102356244880717,0.04230380481213842,0.6651860061374026,0.17005535292988042,0.5881499800110194
1,12,NA,22.6,shaded,litter,absent,0.8666666666666668,2021-11-01,2.528339669808142,0.15007778373830052,1.3940979660423585,0.3806471562674651,1.059954549583033
