week,day,cup_number,pH,temperature_C
3,15/11/2021,43,7.16,21.6
3,15/11/2021,44,6.98,22.2
3,15/11/2021,45,7.06,22.2
3,15/11/2021,46,6.96,23
3,15/11/2021,47,7.05,22.5
3,15/11/2021,48,7,21.4
4,22/11/2021,1,6.59,24.3
4,22/11/2021,2,6.65,24.3
4,22/11/2021,3,6.31,23.4
4,22/11/2021,4,6.37,23.4
4,22/11/2021,5,6.50,23.6
4,22/11/2021,6,6.32,23.6
4,22/11/2021,7,6.68,22.9
4,22/11/2021,8,6.79,23.0
4,22/11/2021,9,6.71,23.4
4,22/11/2021,10,6.46,24.2
4,22/11/2021,11,6.52,23.8
4,22/11/2021,12,6.53,24.0
4,22/11/2021,13,6.71,23.7
4,22/11/2021,14,6.64,23.7
4,22/11/2021,15,7.18,22.6
4,22/11/2021,16,6.87,24.0
4,22/11/2021,17,6.67,23.3
4,22/11/2021,18,6.51,23.7
4,22/11/2021,19,6.60,23.9
4,22/11/2021,20,6.64,23.8
4,22/11/2021,21,6.82,23.7
4,22/11/2021,22,6.47,23.5
4,22/11/2021,23,6.67,23.2
4,22/11/2021,24,6.64,23.5
4,22/11/2021,25,7.14,23.5
4,22/11/2021,26,7.16,13.9
4,22/11/2021,27,7.17,24.9
4,22/11/2021,28,7.13,22.9
4,22/11/2021,29,7.12,23.5
4,22/11/2021,30,7.15,23
4,22/11/2021,31,6.95,23.5
4,22/11/2021,32,7.08,23.9
4,22/11/2021,33,7.12,23.7
4,22/11/2021,34,7.09,23.3
4,22/11/2021,35,6.94,23.8
4,22/11/2021,36,7.11,22.2
4,22/11/2021,37,7.32,23
4,22/11/2021,38,7.01,23.6
4,22/11/2021,39,7.18,23.1
4,22/11/2021,40,7.09,24.3
4,22/11/2021,41,6.91,22.1
4,22/11/2021,42,7.05,24.4
4,22/11/2021,43,7.02,23.2
4,22/11/2021,44,7.15,23.8
4,22/11/2021,45,6.98,23.8
4,22/11/2021,46,7.09,24.4
4,22/11/2021,47,7.05,24.1
4,22/11/2021,48,7.01,23.6
5,29/11/2021,1,6.65,26.2
5,29/11/2021,2,6.53,26.1
5,29/11/2021,3,6.35,24.8
5,29/11/2021,4,6.53,26.0
5,29/11/2021,5,6.43,25.4
5,29/11/2021,6,6.22,24.9
5,29/11/2021,7,6.62,26.9
5,29/11/2021,8,6.57,26.9
5,29/11/2021,9,6.78,25.8
5,29/11/2021,10,6.55,26.4
5,29/11/2021,11,6.40,26.6
5,29/11/2021,12,6.29,26.3
5,29/11/2021,13,6.80,27.3
5,29/11/2021,14,6.95,26.5
5,29/11/2021,15,6.81,27.0
5,29/11/2021,16,7.07,26.7
5,29/11/2021,17,6.88,25.2
5,29/11/2021,18,6.65,26.7
5,29/11/2021,19,6.55,25.8
5,29/11/2021,20,6.81,26.4
5,29/11/2021,21,6.78,26.2
5,29/11/2021,22,6.58,24.8
5,29/11/2021,23,6.63,27.2
5,29/11/2021,24,6.55,25.2
5,29/11/2021,25,7.06,25.9
5,29/11/2021,26,7.10,26.2
5,29/11/2021,27,7.35,26.7
5,29/11/2021,28,6.99,27.0
5,29/11/2021,29,6.99,25.8
5,29/11/2021,30,7.14,26.8
5,29/11/2021,31,6.95,25.8
5,29/11/2021,32,7.16,26.0
5,29/11/2021,33,7.14,25.4
5,29/11/2021,34,6.98,26.8
5,29/11/2021,35,6.88,26.5
5,29/11/2021,36,6.97,26.7
5,29/11/2021,37,7.90,27.4
5,29/11/2021,38,7.37,27.4
5,29/11/2021,39,7.99,27.4
5,29/11/2021,40,7.01,26.6
5,29/11/2021,41,7.01,27.0
5,29/11/2021,42,7.64,26.8
5,29/11/2021,43,7.16,27.6
5,29/11/2021,44,7.29,27.2
5,29/11/2021,45,7.73,27.3
5,29/11/2021,46,7.73,27.1
