po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0646,0.0619,0.0628,0.0453,0.0449,0.0449,0.1615,0.1718,0.1367,0.1215,0.1382,0.1145
B,0.0674,0.0607,0.0628,0.0451,0.0446,0.0452,0.1172,0.1229,0.1648,0.1691,0.133,0.1365
C,0.0663,0.0632,0.0619,0.0447,0.0443,0.0448,0.1582,0.1957,0.1502,0.1676,0.2071,0.1749
D,0.067,0.0659,0.0671,0.0445,0.0441,0.0448,0.1721,0.1644,0.1708,0.1932,0.2072,0.1941
E,0.0773,0.0742,0.0701,0.0443,0.044,0.0448,0.3524,0.4206,0.4242,0.3934,0.3831,0.4706
F,0.1171,0.1053,0.1028,0.0442,0.0438,0.0447,0.4211,0.4756,0.3147,0.3127,0.4794,0.4472
G,0.1696,0.1543,0.1625,0.0441,0.0441,0.0444,0.3666,0.3736,0.3636,0.5085,0.3795,0.4048
H,0.2136,0.2092,0.2088,0.0484,0.0454,0.0443,0.4184,0.4273,0.3167,0.2829,0.3905,0.3963
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,15,15,15,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
B,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
C,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
D,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
E,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
F,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
G,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
H,20211115,20211115,20211115,,,,20211115,20211115,20211115,20211115,20211115,20211115
