no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0419,0.0435,0.0418,0.0422,0.0418,0.042,0.0569,0.0646,0.0589,0.0582,0.0588,0.0566
B,0.05,0.0509,0.0493,0.0644,0.0629,0.0627,0.0613,0.0618,0.0613,0.0625,0.0607,0.0567
C,0.0561,0.0559,0.1165,0.0511,0.0505,0.0498,0.0563,0.0621,0.0613,0.0594,0.0572,0.0594
D,0.0497,0.0487,0.0501,0.0582,0.0581,0.0592,0.0554,0.0542,0.0584,0.0585,0.0571,0.0533
E,0.0851,0.0852,0.0855,0.0514,0.053,0.0531,0.1266,0.1387,0.1214,0.1463,0.1373,0.1467
F,0.1961,0.1903,0.1893,0.0651,0.0785,0.0631,0.151,0.134,0.1469,0.1328,0.1674,0.1403
G,0.3844,0.3739,0.3866,0.0558,0.0564,0.0575,0.1237,0.1269,0.1266,0.1246,0.1299,0.1196
H,0.6635,0.649,0.6432,0.0474,0.047,0.0457,0.1261,0.1257,0.1209,0.127,0.1279,0.1129
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1381,0.0877,0.084,0.0823,0.0817,0.0799,0.1046,0.0959,0.1028,0.1197,0.104,0.1028
B,0.098,0.0861,0.0858,0.1533,0.1416,0.1447,0.0973,0.107,0.0996,0.1005,0.1058,0.0915
C,0.0964,0.1034,0.4245,0.0886,0.088,0.0875,0.1093,0.1435,0.1023,0.0934,0.0927,0.1291
D,0.1025,0.1003,0.1006,0.1112,0.1329,0.1133,0.1144,0.1243,0.104,0.0974,0.0933,0.0937
E,0.114,0.1281,0.1294,0.1098,0.1086,0.1104,0.1295,0.1443,0.1337,0.1485,0.1408,0.1475
F,0.2435,0.2179,0.2236,0.1993,0.1122,0.1914,0.1558,0.1376,0.1509,0.1359,0.1791,0.1405
G,0.4034,0.3759,0.5049,0.2786,0.2802,0.277,0.139,0.1401,0.1403,0.1332,0.1337,0.1358
H,0.6303,0.6303,0.6346,0.4628,0.4557,0.4376,0.1354,0.1342,0.1335,0.1442,0.1369,0.126
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.05,0.05,0.05,,,,,,
C,,,,0.1,0.1,0.1,,,,,,
D,,,,0.5,0.5,0.5,,,,,,
E,,,,1,1,1,,,,,,
F,,,,5,5,5,,,,,,
G,,,,10,10,10,,,,,,
H,,,,20,20,20,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
B,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
C,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
D,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
E,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
F,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
G,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
H,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203,20211203
