no2_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.043,0.0441,0.0433,0.046,0.0509,0.0445,0.0624,0.0702,0.0652,0.06,0.0777,0.0635
B,0.0508,0.0512,0.0506,0.0561,0.0558,0.0566,0.074,0.068,0.0698,0.0708,0.09,0.0819
C,0.0543,0.053,0.0526,0.0513,0.0515,0.0521,0.0707,0.0631,0.0767,0.0956,0.063,0.0992
D,0.0499,0.0507,0.0492,0.0575,0.0598,0.0596,0.0685,0.0742,0.0613,0.0696,0.0655,0.0599
E,0.0843,0.0847,0.0855,0.0524,0.0528,0.051,0.117,0.125,0.131,0.1316,0.1286,0.1331
F,0.189,0.1854,0.1877,0.0634,0.0623,0.0632,0.1422,0.1289,0.1266,0.1196,0.1278,0.1204
G,0.3632,0.4317,0.3702,0.0567,0.0634,0.0604,0.1367,0.1339,0.1226,0.1446,0.1431,0.1416
H,0.6137,0.6054,0.6177,0.0458,0.0471,0.0467,0.1412,0.1323,0.1269,0.152,0.1432,0.1183
,,,,,,,,,,,,
no2no3_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0824,0.081,0.0815,0.0825,0.0973,0.0919,0.1139,0.1244,0.1198,0.1034,0.1201,0.1053
B,0.0869,0.0853,0.0841,0.0998,0.1014,0.1062,0.1282,0.1251,0.1294,0.1261,0.1277,0.1596
C,0.0993,0.0945,0.0922,0.0856,0.2967,0.0908,0.1193,0.1162,0.1237,0.1633,0.1135,0.1166
D,0.1032,0.1004,0.0982,0.1013,0.1014,0.1039,0.1385,0.21,0.1851,0.1038,0.1232,0.1182
E,0.155,0.1323,0.4066,0.1052,0.1076,0.1053,0.1109,0.1194,0.1168,0.1209,0.1211,0.1235
F,0.2252,0.2212,0.2223,0.1957,0.1939,0.1889,0.1352,0.1243,0.1325,0.1175,0.1273,0.1113
G,0.4336,0.4419,0.3856,0.2762,0.279,0.2955,0.1243,0.1243,0.1207,0.1226,0.1277,0.1216
H,0.5977,0.5972,0.5954,0.4113,0.4331,0.431,0.1188,0.1188,0.1244,0.1363,0.1322,0.1158
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.05,0.05,0.05,,,,,,,,,
C,0.1,0.1,0.1,,,,,,,,,
D,0.5,0.5,0.5,,,,,,,,,
E,1,1,1,,,,,,,,,
F,5,5,5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.05,0.05,0.05,,,,,,
C,,,,0.1,0.1,0.1,,,,,,
D,,,,0.5,0.5,0.5,,,,,,
E,,,,1,1,1,,,,,,
F,,,,5,5,5,,,,,,
G,,,,10,10,10,,,,,,
H,,,,20,20,20,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
B,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
C,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
D,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
E,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
F,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
G,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
H,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122,20211122
