no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0368,0.0388,0.0383,0.0395,0.0409,0.0386,0.0745,0.097,0.0745,0.0656,0.0596,0.1221
B,0.0413,0.0408,0.0392,0.0389,0.0378,0.0383,0.0908,0.0673,0.1011,0.0479,0.048,0.0518
C,0.0517,0.0499,0.0486,0.038,0.0396,0.0397,0.0717,0.1139,0.0586,0.0592,0.0953,0.1164
D,0.0611,0.0584,0.0601,0.0382,0.0426,0.0377,0.0542,0.0934,0.0629,0.0502,0.0479,0.0547
E,0.1553,0.1542,0.155,0.0392,0.0387,0.0384,0.0555,0.0701,0.0901,0.0573,0.0712,0.0747
F,0.2832,0.2768,0.2787,0.0397,0.0398,0.039,0.0554,0.0656,0.0783,0.0564,0.0521,0.0701
G,0.5439,0.5446,0.5499,0.0398,0.0387,0.0395,0.0569,0.0487,0.0794,0.0519,0.0997,0.0583
H,1.1011,1.2184,1.2134,0.0396,0.0382,0.0387,0.0887,0.0622,0.0705,0.0531,0.0768,0.0541
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0513,0.0609,0.0574,0.0677,0.0658,0.0418,0.1109,0.1036,0.0898,0.0868,0.0935,0.1305
B,0.0736,0.0755,0.069,0.0557,0.0565,0.0634,0.1084,0.0958,0.1171,2.0753,0.0542,0.0787
C,0.0685,0.0794,0.0647,0.0613,0.0613,0.0691,0.0996,0.126,0.0918,0.0882,0.1146,0.129
D,0.0956,0.0904,0.0807,0.0586,0.0784,0.0698,0.0934,0.1129,0.0935,0.0911,0.0885,0.0893
E,0.1796,0.1766,0.1799,0.1121,0.1265,0.1301,0.0965,0.0895,0.1104,0.0958,0.0983,0.1068
F,0.2868,0.2901,0.2877,0.1927,0.1773,0.1947,0.0866,0.0948,0.1064,0.0946,0.0892,0.0967
G,0.5242,0.5277,0.5243,0.2771,0.2577,0.2996,0.1061,0.0928,0.1026,0.0895,0.1582,0.0811
H,1.0451,1.0904,1.0815,0.6718,0.6252,0.6325,0.1095,0.1001,0.0991,0.0769,0.0859,0.0748
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105
B,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,,,20201105
C,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105
D,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105
E,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105
F,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105
G,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105
H,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105,20201105
