nh4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0624,0.0622,0.0627,0.046,0.0465,0.0443,0.0909,0.1312,0.1092,0.0769,0.0788,0.1535
B,0.0568,0.0573,0.057,0.0458,0.0456,0.0463,0.1237,0.0767,0.1188,0.0383,0.0383,0.0606
C,0.0621,0.0615,0.0594,0.0435,0.0454,0.0465,0.0731,0.148,0.0752,0.0618,0.1189,0.1523
D,0.065,0.0662,0.0639,0.0452,0.0454,0.0472,0.0633,0.131,0.0944,0.0743,0.0665,0.0632
E,0.1049,0.1078,0.0961,0.0415,0.0419,0.0464,0.0829,0.1158,0.1169,0.077,0.1034,0.0852
F,0.179,0.1716,0.1546,0.0461,0.0458,0.046,0.0707,0.1062,0.1216,0.0725,0.0688,0.1063
G,0.2628,0.2499,0.218,0.0459,0.0446,0.0483,0.0791,0.0675,0.1135,0.0652,0.1702,0.0739
H,0.5672,0.5291,0.5484,0.0454,0.0455,0.0461,0.1093,0.1013,0.1017,0.0689,0.101,0.0838
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
B,20201105,20201105,20201105,,,,20201105,20201105,20201105,,,20201105
C,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
D,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
E,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
F,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
G,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
H,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
