po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0542,0.0562,0.0531,0.0438,0.0435,0.0438,0.0887,0.1473,0.1462,0.0886,0.1005,0.1697
B,0.0556,0.0567,0.0572,0.0434,0.0433,0.044,0.3845,0.132,0.1745,0.044,0.0446,0.0821
C,0.0615,0.0615,0.0595,0.0434,0.0432,0.0441,0.1139,0.1938,0.1152,0.0742,0.1631,0.5084
D,0.0675,0.06,0.0649,0.0436,0.0435,0.0437,0.0889,0.3054,0.1424,0.1652,0.1369,0.088
E,0.1117,0.1363,0.1263,0.0434,0.0437,0.0436,0.0641,0.4034,0.1883,0.1788,0.1404,0.1564
F,0.1503,0.1439,0.1592,0.0433,0.0431,0.0438,0.1153,0.347,0.2726,0.2926,0.233,0.0925
G,0.189,0.1393,0.1678,0.0433,0.0424,0.0435,0.2409,0.1832,0.2222,0.3454,0.313,0.1453
H,0.2803,0.2413,0.2813,0.0428,0.0431,0.0433,0.1332,0.2325,0.3063,0.2493,0.2203,0.1928
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201118,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118
B,20201118,20201118,20201118,,,,20201118,20201118,20201118,,,20201118
C,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
D,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
E,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
F,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
G,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
H,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
