no2_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0444,0.0434,0.0404,0.0419,0.0409,0.0395,0.0551,0.0491,0.0477,0.0453,0.0474,0.0542
B,0.0499,0.0471,0.0469,0.0445,0.0434,0.0436,0.0706,0.0532,0.0564,0.044,0.6585,0.0558
C,0.0533,0.0528,0.0544,0.0422,0.0408,0.0416,0.0544,0.0664,0.0498,0.0517,0.0472,0.0626
D,0.0648,0.0639,0.0632,0.0423,0.0413,0.0414,0.0502,0.055,0.0517,0.0478,0.0517,0.0511
E,0.1671,0.1681,0.1651,0.0421,0.0409,0.0414,0.0564,0.0673,0.0581,0.0469,0.0514,0.0496
F,0.2984,0.298,0.3021,0.0426,0.0412,0.0411,0.0515,0.0591,0.0688,0.049,0.0508,0.0476
G,0.5442,0.5525,0.552,0.0416,0.0422,0.0417,0.0596,0.0509,0.0688,0.0642,0.0527,0.0684
H,1.2851,1.2785,1.2804,0.0425,0.0419,0.0413,0.0823,0.0659,0.0663,0.0549,0.061,0.0511
,,,,,,,,,,,,
no2no3_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0705,0.0694,0.0682,0.0723,0.0656,0.0676,0.099,0.0948,0.0852,0.0828,0.0567,0.1065
B,0.0813,0.0817,0.0847,0.0741,0.0791,0.0801,0.1212,0.1069,0.1001,0.0655,0.08,0.1032
C,0.081,0.0816,0.0827,0.0793,0.0792,0.0848,0.0959,0.0978,0.1008,0.1067,0.1004,0.0908
D,0.0932,0.093,0.092,0.0832,0.0853,0.085,0.1038,0.0931,0.0921,0.0917,0.0916,0.1007
E,0.1927,0.1913,0.1894,0.1405,0.1373,0.1362,0.0862,0.0954,0.091,0.0913,0.0909,0.1001
F,0.3205,0.314,0.3187,0.2121,0.2099,0.2098,0.0988,0.0933,0.1151,0.0951,0.096,0.0883
G,0.5418,0.546,0.5488,0.299,0.3165,0.3105,0.0915,0.0816,0.0895,0.0938,0.0945,0.1075
H,1.1939,1.2059,1.2134,0.805,0.8056,0.7972,0.1014,0.0933,0.0901,0.0924,0.0957,0.0893
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,0,,,,,,
B,,,,0.1,0.1,0.1,,,,,,
C,,,,0.5,0.5,0.5,,,,,,
D,,,,1,1,1,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,,20201123
B,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,,,20201123
C,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123
D,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123
E,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123
F,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123
G,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123
H,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123,20201123
