po4_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0578,0.0569,0.056,0.0439,0.0437,0.0444,0.2327,0.4675,0.3354,0.5042,0.4546,0.505
B,0.0576,0.0578,0.0572,0.0436,0.0434,0.044,0.4376,0.2557,0.4337,0.0442,0.0453,0.2931
C,0.0616,0.0627,0.0611,0.0436,0.0435,0.0436,0.044,0.427,0.1894,0.2162,0.309,0.5511
D,0.0664,0.065,0.0641,0.0435,0.0435,0.0441,0.1622,0.3626,0.2902,0.045,0.297,0.2557
E,0.1068,0.1194,0.1288,0.0435,0.0433,0.0438,0.0996,0.2925,0.3643,0.337,0.3165,0.2657
F,0.1558,0.1249,0.138,0.0435,0.0432,0.0439,0.198,0.3314,0.3044,0.2436,0.1631,0.2946
G,0.1828,0.1762,0.1712,0.0435,0.0427,0.0436,0.253,0.3404,0.3391,0.2352,0.3445,0.3382
H,0.2875,0.2867,0.2717,0.043,0.0431,0.0434,0.3411,0.3123,0.3322,0.1802,0.2931,0.2535
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,,14,15,16,17,18
D,,,,,,,19,20,21,,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201109,20201109,20201109,,,,20201109,20201109,20201109,20201109,20201109,20201109
B,20201109,20201109,20201109,,,,20201109,20201109,20201109,,,20201109
C,20201109,20201109,20201109,,,,,20201109,20201109,20201109,20201109,20201109
D,20201109,20201109,20201109,,,,20201109,20201109,20201109,,20201109,20201109
E,20201109,20201109,20201109,,,,20201109,20201109,20201109,20201109,20201109,20201109
F,20201109,20201109,20201109,,,,20201109,20201109,20201109,20201109,20201109,20201109
G,20201109,20201109,20201109,,,,20201109,20201109,20201109,20201109,20201109,20201109
H,20201109,20201109,20201109,,,,20201109,20201109,20201109,20201109,20201109,20201109
