po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0546,0.055,0.0538,0.0439,0.0438,0.0446,0.0724,0.0736,0.0793,0.0659,0.0695,0.045
B,0.0545,0.0561,0.0555,0.0437,0.0436,0.0441,0.0771,0.0665,0.0672,0.0442,0.0443,0.0683
C,0.0546,0.0611,0.0597,0.0439,0.0435,0.0435,0.0443,0.0672,0.07,0.0663,0.0634,0.123
D,0.066,0.0657,0.0643,0.0436,0.0433,0.0439,0.0635,0.0626,0.113,0.0692,0.0686,0.0718
E,0.1205,0.1161,0.1093,0.0436,0.0432,0.044,0.1467,0.2092,0.0444,0.0726,0.044,0.0887
F,0.1354,0.1493,0.1532,0.0443,0.0426,0.0439,0.0854,0.1491,0.1535,0.0824,0.0891,0.0875
G,0.1521,0.1903,0.1884,0.0447,0.043,0.0434,0.0962,0.0678,0.1452,0.1076,0.094,0.1962
H,0.2893,0.3028,0.2788,0.0439,0.0427,0.0433,0.1304,0.0993,0.1564,0.0933,0.1068,0.0835
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,10,10,10,,,,,,,,,
H,20,20,20,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,
B,,,,,,,7,8,9,,,12
C,,,,,,,,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,,28,,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,
B,20201130,20201130,20201130,,,,20201130,20201130,20201130,,,20201130
C,20201130,20201130,20201130,,,,,20201130,20201130,20201130,20201130,20201130
D,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
E,20201130,20201130,20201130,,,,20201130,20201130,,20201130,,20201130
F,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
G,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
H,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
