no2_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0675,0.0664,0.0661,0.0684,0.0687,0.0667,0.0874,0.0893,0.0957,0.0871,0.082,0.0842
B,0.0703,0.0703,0.07,0.0675,0.0679,0.0674,0.113,0.0941,0.1082,0.0484,0.0485,0.0842
C,0.0785,0.0782,0.0778,0.0679,0.067,0.0697,0.0871,0.1004,0.0833,0.0788,0.0783,0.1375
D,0.0913,0.0934,0.0918,0.0694,0.0691,0.0702,0.0796,0.1193,0.0993,0.086,0.0782,0.0845
E,0.1604,0.1636,0.1636,0.0402,0.0405,0.0406,0.0506,0.072,0.0808,0.0515,0.0529,0.0476
F,0.2884,0.2903,0.2917,0.041,0.0388,0.0396,0.0522,0.0632,0.084,0.0553,0.0456,0.0677
G,0.5278,0.5263,0.5307,0.0408,0.0411,0.0412,0.0502,0.0482,0.0644,0.0486,0.0796,0.0544
H,1.2107,1.2231,1.2305,0.0405,0.0408,0.0395,0.0738,0.0528,0.0605,0.0551,0.062,0.0542
,,,,,,,,,,,,
no2no3_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0721,0.0721,0.069,0.069,0.0718,0.0653,0.1111,0.0817,0.0936,0.0985,0.0908,0.0805
B,0.0771,0.0777,0.0779,0.0778,0.0763,0.0763,0.1342,0.1008,0.1019,0.0476,0.0479,0.0951
C,0.0803,0.0811,0.0809,0.0777,0.0768,0.0791,0.0993,0.0974,0.0964,0.0932,0.0833,0.1244
D,0.0934,0.0943,0.0947,0.0856,0.0827,0.0848,0.091,0.1149,0.0959,0.1182,0.0914,0.0949
E,0.1851,0.1881,0.1912,0.1598,0.1629,0.161,0.1075,0.1016,0.125,0.0931,0.0972,0.1038
F,0.3031,0.3084,0.3051,0.2174,0.1991,0.1873,0.0937,0.096,0.1055,0.0973,0.0849,0.0943
G,0.5345,0.5305,0.5381,0.3669,0.2561,0.276,0.0998,0.0951,0.095,0.1041,0.1017,0.075
H,1.1744,1.1991,1.1964,0.7866,0.7845,0.7602,0.1108,0.0952,0.0935,0.1073,0.0916,0.0936
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,5,5,5,,,,,,,,,
F,10,10,10,,,,,,,,,
G,20,20,20,,,,,,,,,
H,50,50,50,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,5,5,5,,,,,,
F,,,,10,10,10,,,,,,
G,,,,20,20,20,,,,,,
H,,,,50,50,50,,,,,,
,,,,,,,,,,,,
no2no3_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
F,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
G,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
H,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109,20201109
