po4_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0562,0.0577,0.0556,0.0442,0.0438,0.045,0.1332,0.5042,0.3895,0.2831,0.4512,0.5333
B,0.0582,0.0571,0.0573,0.044,0.0435,0.0441,0.3804,0.319,0.4701,0.0441,0.0442,0.1582
C,0.0608,0.0605,0.0599,0.0439,0.0434,0.0442,0.4635,0.6262,0.2303,0.2094,0.4386,0.6279
D,0.0668,0.0669,0.0665,0.0436,0.0432,0.0439,0.1584,0.3977,0.335,0.149,0.1773,0.1318
E,0.1214,0.111,0.12,0.0436,0.0432,0.0438,0.1959,0.3404,0.4604,0.2239,0.1968,0.2182
F,0.1571,0.1491,0.1492,0.0435,0.0425,0.0439,0.2363,0.2934,0.361,0.2223,0.1467,0.2697
G,0.2581,0.2258,0.2889,0.0436,0.043,0.0436,0.2597,0.1564,0.3156,0.1856,0.4267,0.2798
H,0.1728,0.1813,0.1502,0.0433,0.0425,0.0431,0.2677,0.3143,0.3726,0.2139,0.1889,0.1715
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.1,0.1,0.1,,,,,,,,,
C,0.5,0.5,0.5,,,,,,,,,
D,1,1,1,,,,,,,,,
E,5,5,5,,,,,,,,,
F,7.5,7.5,7.5,,,,,,,,,
G,20,20,20,,,,,,,,,
H,10,10,10,,,,,,,,,
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
B,20201105,20201105,20201105,,,,20201105,20201105,20201105,,,20201105
C,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
D,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
E,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
F,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
G,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
H,20201105,20201105,20201105,,,,20201105,20201105,20201105,20201105,20201105,20201105
